biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,tissue,is_cross_modal,is_cross_study,genotype
dca850f2,6,RNA-seq,906951,hap1,6 kj/m2 uva,unknown,hap1,False,False,hap1
74a2c83b,6,RNA-seq,906951,hap1,none,unknown,hap1,False,False,hap1
031074ff,6,RNA-seq,906951,hap1,5 um 4su,unknown,hap1,False,False,hap1
4d28ba22,6,RNA-seq,877653,somatic,unknown,unknown,inflorescence,False,False,hot3-2
5ed3f7a9,6,RNA-seq,877653,somatic,unknown,unknown,inflorescence,False,False,col-0
dcc061b6,6,RNA-seq,877653,somatic,unknown,unknown,seedling,False,False,hot3-2
6ad6fb5c,6,RNA-seq,877653,somatic,unknown,unknown,seedling,False,False,col-0
93d417d3,6,"RNA-seq,Ribo-seq",871254,unknown,unknown,unknown,zebrafish cells,True,False,mycn mutant
0648510a,6,"RNA-seq,Ribo-seq",871254,unknown,unknown,unknown,zebrafish cells,True,False,ab
b485c075,6,RNA-seq,860962,unknown,oncocin 50 µm,unknown,nctc11168,False,False,wild-type
47c59e92,6,RNA-seq,860962,unknown,retapamulin 12.5 µg/ml,unknown,nctc11168,False,False,delta-cmeb
47c23403,6,RNA-seq,860962,unknown,chloramphenicol,unknown,nctc11168,False,False,wild-type
1521db61,6,RNA-seq,852784,mv4_11,48 hour treatment with 100 nm c16 and 2.5 nm mivebresib (abbv-075),unknown,mv4_11,False,False,mv4_11
3ac15142,6,RNA-seq,852784,mv4_11,48 hour treatment with 2.5 nm mivebresib (abbv-075),unknown,mv4_11,False,False,mv4_11
bd84cc18,6,RNA-seq,852784,mv4_11,48 hour treatment with 0.2% dmso,unknown,mv4_11,False,False,mv4_11
09acf99e,6,RNA-seq,852784,mv4_11,48 hour treatment with either 0.1% dmso,unknown,mv4_11,False,False,mv4_11
70e21d13,6,Ribo-seq,850795,mb135idux4,dox+ifng,unknown,mb135idux4,False,False,mb135idux4
a474b7f3,6,Ribo-seq,850795,mb135idux4,dox,unknown,mb135idux4,False,False,mb135idux4
88afbeaf,6,Ribo-seq,850795,mb135idux4,ifng,unknown,mb135idux4,False,False,mb135idux4
0c4b383c,6,Ribo-seq,850795,mb135idux4,untreated,unknown,mb135idux4,False,False,mb135idux4
f469a3fa,6,RNA-seq,842067,s2,unknown,unknown,s2,False,False,s2
4f6c20e2,6,"RNA-seq,Ribo-seq",816171,liver cancer cells,unknown,unknown,mhcc97h cells,True,False,mhcc97h
34a94ae4,6,Ribo-seq,811063,neuron,unknown,unknown,unknown,False,False,tdp43 knockdown
2812dbee,6,Ribo-seq,811063,neuron,unknown,unknown,unknown,False,False,control
7a065f4c,6,RNA-seq,"794163,793438",u2os,unknown,unknown,qki7 oe ribo-seq,False,True,u2os
df20722b,6,RNA-seq,"794163,793438",u2os,unknown,unknown,vector ribo-seq,False,True,u2os
85d7e391,6,RNA-seq,"794163,793438",u2os,unknown,unknown,qki7 oe input,False,True,u2os
17cfc744,6,RNA-seq,"794163,793438",u2os,unknown,unknown,vector input,False,True,u2os
57847d70,6,RNA-seq,789173,unknown,treated with 1000nm scrambled pna,unknown,cell-free mrna and translational machinery,False,False,unknown
efc8b5c2,6,RNA-seq,789173,unknown,treated with 1000nm acpp pna,unknown,cell-free mrna and translational machinery,False,False,unknown
8c99e23f,6,RNA-seq,789173,unknown,treated with 250nm acpp pna,unknown,cell-free mrna and translational machinery,False,False,unknown
34e46692,6,RNA-seq,789173,unknown,treated with 63nm acpp pna,unknown,cell-free mrna and translational machinery,False,False,unknown
53db0b03,6,RNA-seq,789173,unknown,treated with 16nm acpp pna,unknown,cell-free mrna and translational machinery,False,False,unknown
