biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,is_cross_modal,is_cross_study,cap_selection_method,fractionation_method,replicate,translation_inhibitor
b8d47efb,16,RNA-seq,944112,retinal pigment epithelial cells,Serum stimulation for 15hr,15 hr,False,False,,,,
9d7e74d0,16,RNA-seq,944112,retinal pigment epithelial cells,Serum stimulation for 10hr,10 hr,False,False,,,,
db57cd8d,16,RNA-seq,944112,retinal pigment epithelial cells,Serum stimulation for 5hr,5 hr,False,False,,,,
df1cd767,16,RNA-seq,944112,retinal pigment epithelial cells,Serum stimulation for 0 hr,0 hr,False,False,,,,
7300f8f9,16,RNA-seq,933811,K562,no,unknown,False,False,,,,
db1748a9,16,Ribo-seq,925168,somatic cells,unknown,unknown,False,False,,unknown,unknown,unknown
48a249b9,16,Ribo-seq,891450,unknown,air or 10 μL/L of ethylene for 8 h,unknown,False,False,,unknown,unknown,unknown
b08b5be8,16,Ribo-seq,890855,on cells,untreated,unknown,False,False,,unknown,unknown,unknown
3abdcb01,16,RNA-seq,852784,Cell Line,48 Hour treatment with 0.1% DMSO,unknown,False,False,,,unknown,
629010e1,16,RNA-seq,817264,BEAS-2B,unknown,unknown,False,False,,,unknown,
